threshold,trades,coverage,accuracy,mean_entry_second,mean_confidence
0.55,288,1.0,0.7048611111111112,70.83333333333333,0.6477681324213225
0.6,288,1.0,0.7465277777777778,85.83333333333333,0.6769672009315616
0.65,274,0.9513888888888888,0.8321167883211679,120.87591240875912,0.7355517556748069
0.7,261,0.90625,0.8659003831417624,141.83908045977012,0.7730246553768602
0.75,221,0.7673611111111112,0.918552036199095,162.0814479638009,0.8224396204671268
0.8,209,0.7256944444444444,0.937799043062201,191.77033492822966,0.8613545989934915
0.85,167,0.5798611111111112,0.9640718562874252,204.4311377245509,0.9008966233398249
0.9,142,0.4930555555555556,0.9788732394366197,221.83098591549296,0.9283866939413359
0.95,60,0.20833333333333334,1.0,237.0,0.9635975146588541
